GO_ID	term	annotated	significant_genes	auc	pvalue_wilcoxon	padj_wilcoxon_BH	direction	significant
GO:0009144	purine nucleoside triphosphate metabolic process	219	4	0.608076578338446	3.63539434111715e-08	1.34143611325249e-06	Higher in TB	TRUE
GO:0050727	regulation of inflammatory response	302	22	0.592140888687369	3.76215325559315e-08	1.37895457328341e-06	Higher in TB	FALSE
GO:0006302	double-strand break repair	298	4	0.407497182581157	4.0841131438769e-08	1.4870499380818e-06	Lower in TB	FALSE
GO:0072521	purine-containing compound metabolic process	476	7	0.573507249053468	4.15558949473649e-08	1.50057975790976e-06	Higher in TB	FALSE
GO:0006163	purine nucleotide metabolic process	354	5	0.584940181819639	4.17585854783908e-08	1.50057975790976e-06	Higher in TB	FALSE
GO:0015986	proton motive force-driven ATP synthesis	74	1	0.684104731545867	4.3711579911232e-08	1.56056017111658e-06	Higher in TB	TRUE
GO:0002227	innate immune response in mucosa	23	6	0.829380516946802	4.5374788149033e-08	1.6094876467315e-06	Higher in TB	TRUE
GO:0032732	positive regulation of interleukin-1 production	63	6	0.698958485236893	4.73296219993813e-08	1.66806578046537e-06	Higher in TB	TRUE
GO:0006417	regulation of translation	329	4	0.412487038537561	5.03946677235248e-08	1.76477632575758e-06	Lower in TB	FALSE
GO:0046034	ATP metabolic process	194	4	0.613123161348406	5.64980142669924e-08	1.96598786354382e-06	Higher in TB	TRUE
GO:0022402	cell cycle process	1097	19	0.45153139392153	6.84936484522188e-08	2.36841559239182e-06	Lower in TB	FALSE
GO:0009205	purine ribonucleoside triphosphate metabolic process	214	4	0.606946372290848	7.11414942511368e-08	2.44459959620469e-06	Higher in TB	TRUE
GO:0007520	myoblast fusion	69	3	0.312673351076383	7.44029841445289e-08	2.54079258898522e-06	Lower in TB	TRUE
GO:0009145	purine nucleoside triphosphate biosynthetic process	103	1	0.652549713306559	8.88349789285314e-08	2.98350208886318e-06	Higher in TB	TRUE
GO:0009206	purine ribonucleoside triphosphate biosynthetic process	103	1	0.652549713306559	8.88349789285314e-08	2.98350208886318e-06	Higher in TB	TRUE
GO:0016043	cellular component organization	5237	82	0.474851088113146	8.89949695477557e-08	2.98350208886318e-06	Lower in TB	FALSE
GO:0044085	cellular component biogenesis	2947	44	0.469211068892671	1.07601123905855e-07	3.58539987414783e-06	Lower in TB	FALSE
GO:0032637	interleukin-8 production	73	4	0.67961567548024	1.12311797861864e-07	3.69754649487741e-06	Higher in TB	TRUE
GO:0032677	regulation of interleukin-8 production	73	4	0.67961567548024	1.12311797861864e-07	3.69754649487741e-06	Higher in TB	TRUE
GO:0006959	humoral immune response	165	23	0.61863494760691	1.47700733199585e-07	4.81200417268464e-06	Higher in TB	TRUE
GO:0051054	positive regulation of DNA metabolic process	248	4	0.403019904843261	1.47913551324792e-07	4.81200417268464e-06	Lower in TB	FALSE
GO:0007040	lysosome organization	102	1	0.650524030006102	1.50750901539709e-07	4.84695003897848e-06	Higher in TB	TRUE
GO:0080171	lytic vacuole organization	102	1	0.650524030006102	1.50750901539709e-07	4.84695003897848e-06	Higher in TB	TRUE
GO:0055086	nucleobase-containing small molecule metabolic process	572	8	0.564097510421527	1.71045875463349e-07	5.46750129824125e-06	Higher in TB	FALSE
GO:0016192	vesicle-mediated transport	1359	30	0.542496127803908	1.73635307465503e-07	5.51819029159153e-06	Higher in TB	FALSE
GO:0006754	ATP biosynthetic process	95	1	0.655082299689269	1.76335608337297e-07	5.57179985424401e-06	Higher in TB	TRUE
GO:0009611	response to wounding	378	17	0.578317750631665	1.78064864186922e-07	5.59428927599827e-06	Higher in TB	FALSE
GO:0032722	positive regulation of chemokine production	52	4	0.708859949114459	1.8894337139308e-07	5.90233327226792e-06	Higher in TB	TRUE
GO:1901136	carbohydrate derivative catabolic process	212	7	0.603850736568458	1.90813415734681e-07	5.92707434863997e-06	Higher in TB	TRUE
GO:0009117	nucleotide metabolic process	408	6	0.57505101066045	2.0626202013041e-07	6.37094711616289e-06	Higher in TB	FALSE
GO:0009141	nucleoside triphosphate metabolic process	233	4	0.598676260158023	2.16094920624244e-07	6.63737359548654e-06	Higher in TB	FALSE
GO:0002274	myeloid leukocyte activation	187	13	0.609934567251	2.20210344181737e-07	6.72620262395106e-06	Higher in TB	TRUE
GO:2000379	positive regulation of reactive oxygen species metabolic process	59	3	0.694980803949006	2.2218399520213e-07	6.74899229625033e-06	Higher in TB	TRUE
GO:0002758	innate immune response-activating signaling pathway	268	21	0.591655882906199	2.46669037640146e-07	7.43657440898638e-06	Higher in TB	FALSE
GO:1901135	carbohydrate derivative metabolic process	814	13	0.553382511897796	2.47525121288561e-07	7.43657440898638e-06	Higher in TB	FALSE
GO:0002252	immune effector process	527	33	0.565455276755569	2.8800753648639e-07	8.60579041088137e-06	Higher in TB	FALSE
GO:0061844	antimicrobial humoral immune response mediated by antimicrobial peptide	69	11	0.67777048220126	3.29506760321507e-07	9.79258469323053e-06	Higher in TB	TRUE
GO:0019827	stem cell population maintenance	99	3	0.351780169134963	3.4865963465852e-07	1.03060788782395e-05	Lower in TB	TRUE
GO:0002833	positive regulation of response to biotic stimulus	366	23	0.57756832093305	3.58329862670814e-07	1.05352812030168e-05	Higher in TB	FALSE
GO:0042776	proton motive force-driven mitochondrial ATP synthesis	67	0	0.679100066329645	3.99703688813702e-07	1.16892068143496e-05	Higher in TB	TRUE
GO:0006753	nucleoside phosphate metabolic process	550	8	0.563140441154344	4.34199153964698e-07	1.26308304153329e-05	Higher in TB	FALSE
GO:0009201	ribonucleoside triphosphate biosynthetic process	109	1	0.639899733323846	4.54179505338104e-07	1.31425206334152e-05	Higher in TB	TRUE
GO:0032602	chemokine production	70	5	0.674275579306215	4.62222085495512e-07	1.32359220106996e-05	Higher in TB	TRUE
GO:0032642	regulation of chemokine production	70	5	0.674275579306215	4.62222085495512e-07	1.32359220106996e-05	Higher in TB	TRUE
GO:0019637	organophosphate metabolic process	904	12	0.549445570640104	5.07072190902846e-07	1.44449891481028e-05	Higher in TB	FALSE
GO:0055085	transmembrane transport	1095	22	0.545079617135456	5.34331790147391e-07	1.51430731042802e-05	Higher in TB	FALSE
GO:0060142	regulation of syncytium formation by plasma membrane fusion	60	3	0.313464224323163	5.82026112676237e-07	1.64101516281741e-05	Lower in TB	TRUE
GO:0001906	cell killing	160	18	0.614504685137179	5.86335414887174e-07	1.6447306689029e-05	Higher in TB	TRUE
GO:0009142	nucleoside triphosphate biosynthetic process	115	1	0.63480228529666	5.97266966773091e-07	1.66689024533932e-05	Higher in TB	TRUE
GO:0050777	negative regulation of immune response	174	13	0.609433028054128	6.45727912473859e-07	1.79303639534408e-05	Higher in TB	TRUE
GO:0009595	detection of biotic stimulus	34	3	0.746110932303401	6.81646291633697e-07	1.88326196552868e-05	Higher in TB	TRUE
GO:0002526	acute inflammatory response	66	10	0.676488691319427	7.12578156480959e-07	1.95887735216615e-05	Higher in TB	TRUE
GO:0007033	vacuole organization	219	3	0.597258146356718	7.18165091395662e-07	1.96441376740963e-05	Higher in TB	FALSE
GO:0032609	type II interferon production	103	9	0.641240886786801	7.35592821321518e-07	1.99226075449542e-05	Higher in TB	TRUE
GO:0032649	regulation of type II interferon production	103	9	0.641240886786801	7.35592821321518e-07	1.99226075449542e-05	Higher in TB	TRUE
