GO_ID	term	topGO_pvalue	topGO_significant	Wilcoxon_pvalue	Wilcoxon_significant	n_methods_included	n_methods_significant	median_pvalue
GO:0070861	regulation of protein exit from endoplasmic reticulum	1.0	False	0.978701743805899	False	2	0	0.9893508719029496
GO:0090150	establishment of protein localization to membrane	1.0	False	0.978701743805899	False	2	0	0.9893508719029496
GO:0097553	calcium ion transmembrane import into cytosol	1.0	False	0.978701743805899	False	2	0	0.9893508719029496
GO:0031016	pancreas development	1.0	False	0.97874321584292	False	2	0	0.9893716079214601
GO:0000966	RNA 5'-end processing	1.0	False	0.978936420216381	False	2	0	0.9894682101081905
GO:0010811	positive regulation of cell-substrate adhesion	1.0	False	0.978936420216381	False	2	0	0.9894682101081905
GO:0120180	cell-substrate junction disassembly	1.0	False	0.978953630511603	False	2	0	0.9894768152558016
GO:0120181	focal adhesion disassembly	1.0	False	0.978953630511603	False	2	0	0.9894768152558016
GO:0043647	inositol phosphate metabolic process	1.0	False	0.979439254576732	False	2	0	0.9897196272883659
GO:0048660	regulation of smooth muscle cell proliferation	1.0	False	0.97974509424336	False	2	0	0.98987254712168
GO:0045651	positive regulation of macrophage differentiation	1.0	False	0.980158798742963	False	2	0	0.9900793993714815
GO:0001570	vasculogenesis	1.0	False	0.980431824696658	False	2	0	0.990215912348329
GO:0015810	aspartate transmembrane transport	1.0	False	0.980431824696658	False	2	0	0.990215912348329
GO:0030210	heparin proteoglycan biosynthetic process	1.0	False	0.980431824696658	False	2	0	0.990215912348329
GO:0036119	response to platelet-derived growth factor	1.0	False	0.980431824696658	False	2	0	0.990215912348329
GO:0071371	cellular response to gonadotropin stimulus	1.0	False	0.980431824696658	False	2	0	0.990215912348329
GO:0072583	clathrin-dependent endocytosis	1.0	False	0.980431824696658	False	2	0	0.990215912348329
GO:0086064	cell communication by electrical coupling involved in cardiac conduction	1.0	False	0.980431824696658	False	2	0	0.990215912348329
GO:0097009	energy homeostasis	1.0	False	0.980431824696658	False	2	0	0.990215912348329
GO:1901880	negative regulation of protein depolymerization	1.0	False	0.980431824696658	False	2	0	0.990215912348329
GO:1902686	mitochondrial outer membrane permeabilization involved in programmed cell death	1.0	False	0.980431824696658	False	2	0	0.990215912348329
GO:1905818	regulation of chromosome separation	1.0	False	0.980431824696658	False	2	0	0.990215912348329
GO:2000351	regulation of endothelial cell apoptotic process	1.0	False	0.980431824696658	False	2	0	0.990215912348329
GO:2000811	negative regulation of anoikis	1.0	False	0.980431824696658	False	2	0	0.990215912348329
GO:0060999	positive regulation of dendritic spine development	1.0	False	0.980738209178154	False	2	0	0.990369104589077
GO:0021879	forebrain neuron differentiation	1.0	False	0.980899941264329	False	2	0	0.9904499706321646
GO:0046823	negative regulation of nucleocytoplasmic transport	1.0	False	0.980899941264329	False	2	0	0.9904499706321646
GO:1902108	regulation of mitochondrial membrane permeability involved in apoptotic process	1.0	False	0.980899941264329	False	2	0	0.9904499706321646
GO:0035094	response to nicotine	1.0	False	0.981014785775371	False	2	0	0.9905073928876855
GO:0031269	pseudopodium assembly	1.0	False	0.981099871497589	False	2	0	0.9905499357487946
GO:0061951	establishment of protein localization to plasma membrane	1.0	False	0.981099871497589	False	2	0	0.9905499357487946
GO:0007154	cell communication	1.0	False	0.981602429990801	False	2	0	0.9908012149954005
GO:0043335	protein unfolding	1.0	False	0.981655712085616	False	2	0	0.990827856042808
GO:1904752	regulation of vascular associated smooth muscle cell migration	1.0	False	0.982003921668269	False	2	0	0.9910019608341345
GO:0046639	negative regulation of alpha-beta T cell differentiation	1.0	False	0.982094479070001	False	2	0	0.9910472395350005
GO:0070873	regulation of glycogen metabolic process	1.0	False	0.982094479070001	False	2	0	0.9910472395350005
GO:0006144	purine nucleobase metabolic process	1.0	False	0.982243610371629	False	2	0	0.9911218051858145
GO:0008045	motor neuron axon guidance	1.0	False	0.982243610371629	False	2	0	0.9911218051858145
GO:0072577	endothelial cell apoptotic process	1.0	False	0.982243610371629	False	2	0	0.9911218051858145
GO:0170034	L-amino acid biosynthetic process	1.0	False	0.982243610371629	False	2	0	0.9911218051858145
GO:2000145	regulation of cell motility	1.0	False	0.982846874426906	False	2	0	0.9914234372134529
GO:0070302	regulation of stress-activated protein kinase signaling cascade	1.0	False	0.982992523338905	False	2	0	0.9914962616694525
GO:0030836	positive regulation of actin filament depolymerization	1.0	False	0.98314017475633	False	2	0	0.991570087378165
GO:0090141	positive regulation of mitochondrial fission	1.0	False	0.983143741840696	False	2	0	0.991571870920348
GO:0071326	cellular response to monosaccharide stimulus	1.0	False	0.983223333421164	False	2	0	0.991611666710582
GO:0046621	negative regulation of organ growth	1.0	False	0.984336904870475	False	2	0	0.9921684524352374
GO:0010827	regulation of D-glucose transmembrane transport	1.0	False	0.984343766094567	False	2	0	0.9921718830472834
GO:0099068	postsynapse assembly	1.0	False	0.985016352642061	False	2	0	0.9925081763210305
GO:0051204	protein insertion into mitochondrial membrane	1.0	False	0.985224102819214	False	2	0	0.9926120514096071
GO:0071731	response to nitric oxide	1.0	False	0.985224102819214	False	2	0	0.9926120514096071
GO:0006362	transcription elongation by RNA polymerase I	1.0	False	0.985638670820521	False	2	0	0.9928193354102606
GO:0099170	postsynaptic modulation of chemical synaptic transmission	1.0	False	0.985928137866543	False	2	0	0.9929640689332715
GO:0048659	smooth muscle cell proliferation	1.0	False	0.986312545672995	False	2	0	0.9931562728364975
GO:0030837	negative regulation of actin filament polymerization	1.0	False	0.986664659012306	False	2	0	0.993332329506153
GO:0036499	PERK-mediated unfolded protein response	1.0	False	0.986664659012306	False	2	0	0.993332329506153
GO:0062125	regulation of mitochondrial gene expression	1.0	False	0.986664659012306	False	2	0	0.993332329506153
GO:0043462	regulation of ATP-dependent activity	1.0	False	0.986802263228298	False	2	0	0.993401131614149
GO:0002357	defense response to tumor cell	1.0	False	0.987013809401888	False	2	0	0.9935069047009439
GO:0030833	regulation of actin filament polymerization	1.0	False	0.987013809401888	False	2	0	0.9935069047009439
GO:0090169	regulation of spindle assembly	1.0	False	0.987013809401888	False	2	0	0.9935069047009439
GO:0090232	positive regulation of spindle checkpoint	1.0	False	0.987216267536904	False	2	0	0.9936081337684519
GO:0002285	lymphocyte activation involved in immune response	1.0	False	0.987619656002133	False	2	0	0.9938098280010665
GO:0048713	regulation of oligodendrocyte differentiation	1.0	False	0.987619656002133	False	2	0	0.9938098280010665
GO:0051306	mitotic sister chromatid separation	1.0	False	0.987653370776796	False	2	0	0.993826685388398
