GO_ID	term	annotated	significant_genes	expected	fold_enrichment	pvalue_weight01	pvalue_classic	padj_classic_BH	significant	n_higher_in_TB	n_lower_in_TB	genes_higher_in_TB	genes_lower_in_TB
GO:0006048	UDP-N-acetylglucosamine biosynthetic process	10	0	0.17	0	1	1	1	FALSE	0	0		
GO:0006067	ethanol metabolic process	10	0	0.17	0	1	1	1	FALSE	0	0		
GO:0006068	ethanol catabolic process	10	0	0.17	0	1	1	1	FALSE	0	0		
GO:0006084	acetyl-CoA metabolic process	38	0	0.65	0	1	1	1	FALSE	0	0		
GO:0006085	acetyl-CoA biosynthetic process	22	0	0.38	0	1	1	1	FALSE	0	0		
GO:0006086	pyruvate decarboxylation to acetyl-CoA	15	0	0.26	0	1	1	1	FALSE	0	0		
GO:0006098	pentose-phosphate shunt	17	0	0.29	0	1	1	1	FALSE	0	0		
GO:0006099	tricarboxylic acid cycle	29	0	0.5	0	1	1	1	FALSE	0	0		
GO:0006103	2-oxoglutarate metabolic process	14	0	0.24	0	1	1	1	FALSE	0	0		
GO:0006104	succinyl-CoA metabolic process	13	0	0.22	0	1	1	1	FALSE	0	0		
GO:0006119	oxidative phosphorylation	127	0	2.18	0	1	1	1	FALSE	0	0		
GO:0006120	mitochondrial electron transport, NADH to ubiquinone	48	0	0.83	0	1	1	1	FALSE	0	0		
GO:0006122	mitochondrial electron transport, ubiquinol to cytochrome c	13	0	0.22	0	1	1	1	FALSE	0	0		
GO:0006123	mitochondrial electron transport, cytochrome c to oxygen	16	0	0.28	0	1	1	1	FALSE	0	0		
GO:0006144	purine nucleobase metabolic process	16	0	0.28	0	1	1	1	FALSE	0	0		
GO:0006167	AMP biosynthetic process	12	0	0.21	0	1	1	1	FALSE	0	0		
GO:0006177	GMP biosynthetic process	11	0	0.19	0	1	1	1	FALSE	0	0		
GO:0006188	IMP biosynthetic process	10	0	0.17	0	1	1	1	FALSE	0	0		
GO:0006221	pyrimidine nucleotide biosynthetic process	30	0	0.52	0	1	1	1	FALSE	0	0		
GO:0006222	UMP biosynthetic process	10	0	0.17	0	1	1	1	FALSE	0	0		
GO:0006241	CTP biosynthetic process	11	0	0.19	0	1	1	1	FALSE	0	0		
GO:0006260	DNA replication	295	0	5.07	0	1	1	1	FALSE	0	0		
GO:0006261	DNA-templated DNA replication	161	0	2.77	0	1	1	1	FALSE	0	0		
GO:0006264	mitochondrial DNA replication	14	0	0.24	0	1	1	1	FALSE	0	0		
GO:0006265	DNA topological change	10	0	0.17	0	1	1	1	FALSE	0	0		
GO:0006270	DNA replication initiation	36	0	0.62	0	1	1	1	FALSE	0	0		
GO:0006271	DNA strand elongation involved in DNA replication	15	0	0.26	0	1	1	1	FALSE	0	0		
